"Time","bts"
"2021-03-01",73
"2021-04-01",75
"2021-05-01",94
"2021-06-01",100
"2021-07-01",85
"2021-08-01",77
"2021-09-01",78
"2021-10-01",78
"2021-11-01",74
"2021-12-01",78
"2022-01-01",65
"2022-02-01",70
"2022-03-01",72
"2022-04-01",78
"2022-05-01",69
"2022-06-01",81
"2022-07-01",78
"2022-08-01",54
"2022-09-01",50
"2022-10-01",55
"2022-11-01",49
"2022-12-01",50
"2023-01-01",46
"2023-02-01",45
"2023-03-01",41
"2023-04-01",42
"2023-05-01",42
"2023-06-01",44
"2023-07-01",37
"2023-08-01",32
"2023-09-01",32
"2023-10-01",30
"2023-11-01",29
"2023-12-01",33
"2024-01-01",29
"2024-02-01",25
"2024-03-01",27
"2024-04-01",28
"2024-05-01",28
"2024-06-01",31
"2024-07-01",26
"2024-08-01",25
"2024-09-01",22
"2024-10-01",21
"2024-11-01",20
"2024-12-01",22
"2025-01-01",23
"2025-02-01",20
"2025-03-01",21
"2025-04-01",20
"2025-05-01",21
"2025-06-01",28
"2025-07-01",25
"2025-08-01",25
"2025-09-01",26
"2025-10-01",22
"2025-11-01",22
"2025-12-01",24
"2026-01-01",52
"2026-02-01",29
